Id,Title,Release Date,Old Price,Discount,New Price,Platforms,Positive Ratings,Reviews Count,IMAGE
1,Counter-Strike: Global Offensive,"21 Aug, 2012",Free to Play,0,Free to Play,"['win', 'mac', 'linux']",88,6425589,https://cdn.cloudflare.steamstatic.com/steam/apps/730/capsule_sm_120.jpg?t=1641233427
2,V Rising,"17 May, 2022",10.49,0,10.49,['win'],88,20132,https://cdn.cloudflare.steamstatic.com/steam/apps/1604030/capsule_sm_120.jpg?t=1653053023
3,Destiny 2,"1 Oct, 2019",Free To Play,0,Free To Play,['win'],84,469317,https://cdn.cloudflare.steamstatic.com/steam/apps/1085660/capsule_sm_120.jpg?t=1653420922
4,FIFA 22,"30 Sep, 2021",59.99,84,9.59,['win'],79,57933,https://cdn.cloudflare.steamstatic.com/steam/apps/1506830/capsule_sm_120.jpg?t=1653581021
5,Apex Legends™,"4 Nov, 2020",Free to Play,0,Free to Play,['win'],86,457851,https://cdn.cloudflare.steamstatic.com/steam/apps/1172470/capsule_sm_120.jpg?t=1653320846
6,PUBG: BATTLEGROUNDS,"21 Dec, 2017",Free to Play,0,Free to Play,['win'],56,2025165,https://cdn.cloudflare.steamstatic.com/steam/apps/578080/capsule_sm_120.jpg?t=1649663090
7,Forza Horizon 4,"9 Mar, 2021",27.99,67,9.23,['win'],89,119122,https://cdn.cloudflare.steamstatic.com/steam/apps/1293830/capsule_sm_120.jpg?t=1622068013
8,ELDEN RING,"24 Feb, 2022",34.99,0,34.99,['win'],90,372108,https://cdn.cloudflare.steamstatic.com/steam/apps/1245620/capsule_sm_120.jpg?t=1649774637
9,The Elder Scrolls V: Skyrim Special Edition,"27 Oct, 2016",24.99,60,9.99,['win'],94,102022,https://cdn.cloudflare.steamstatic.com/steam/apps/489830/capsule_sm_120.jpg?t=1650909796
10,Sniper Elite 5,"25 May, 2022",22.99,0,22.99,['win'],70,1628,https://cdn.cloudflare.steamstatic.com/steam/apps/1029690/capsule_sm_120.jpg?t=1653557291
11,War Thunder,"15 Aug, 2013",Free to Play,0,Free to Play,"['win', 'mac', 'linux']",78,301098,https://cdn.cloudflare.steamstatic.com/steam/apps/236390/capsule_sm_120.jpg?t=1653649447
12,Yu-Gi-Oh! Master Duel,"18 Jan, 2022",Free To Play,0,Free To Play,['win'],76,40576,https://cdn.cloudflare.steamstatic.com/steam/apps/1449850/capsule_sm_120.jpg?t=1648616316
13,Horizon Zero Dawn™ Complete Edition,"7 Aug, 2020",39.99,50,19.99,['win'],85,57430,https://cdn.cloudflare.steamstatic.com/steam/apps/1151640/capsule_sm_120.jpg?t=1635442187
14,Tom Clancy's Rainbow Six® Siege,"1 Dec, 2015",10.99,60,4.39,['win'],87,888536,https://cdn.cloudflare.steamstatic.com/steam/apps/359550/capsule_sm_120.jpg?t=1647433052
15,Hatsune Miku: Project DIVA Mega Mix+,"26 May, 2022",39.39,0,39.39,['win'],88,1576,https://cdn.cloudflare.steamstatic.com/steam/apps/1761390/capsule_sm_120.jpg?t=1653670546
16,No Man's Sky,"12 Aug, 2016",34.99,50,17.49,['win'],73,181384,https://cdn.cloudflare.steamstatic.com/steam/apps/275850/capsule_sm_120_alt_assets_11.jpg?t=1653577357
17,Tales of Arise,"9 Sep, 2021",44.99,50,22.49,['win'],90,16708,https://cdn.cloudflare.steamstatic.com/steam/apps/740130/capsule_sm_120.jpg?t=1653399840
18,FINAL FANTASY XIV Online,"18 Feb, 2014",10.49,0,10.49,['win'],88,52015,https://cdn.cloudflare.steamstatic.com/steam/apps/39210/capsule_sm_120.jpg?t=1646695302
